name	wave	kind	benchmark_id	batch	epochs	checkpoint_name
elj_r0	wave2_floors	floor	elj-fused-uncond	1000	2500	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
elj_r1	wave2_floors	floor	elj-fused-uncond	1000	2500	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
elj_r2	wave2_floors	floor	elj-fused-uncond	1000	2500	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
elj_r3	wave2_floors	floor	elj-fused-uncond	1000	2500	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
elj_r4	wave2_floors	floor	elj-fused-uncond	1000	2500	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
cond_r0	wave2_floors	floor	elj-fused-cond	1000	1500	a100_stab_aug16_f2_qm9cond_b500_elj-qm9c100k_prior-T6.9-bb6cfd_step1000.pt
cond_r1	wave2_floors	floor	elj-fused-cond	1000	1500	a100_stab_aug16_f2_qm9cond_b500_elj-qm9c100k_prior-T6.9-bb6cfd_step1000.pt
cond_r2	wave2_floors	floor	elj-fused-cond	1000	1500	a100_stab_aug16_f2_qm9cond_b500_elj-qm9c100k_prior-T6.9-bb6cfd_step1000.pt
cond_r3	wave2_floors	floor	elj-fused-cond	1000	1500	a100_stab_aug16_f2_qm9cond_b500_elj-qm9c100k_prior-T6.9-bb6cfd_step1000.pt
cond_r4	wave2_floors	floor	elj-fused-cond	1000	1500	a100_stab_aug16_f2_qm9cond_b500_elj-qm9c100k_prior-T6.9-bb6cfd_step1000.pt
uma_r0	wave2_floors	floor	uma-fused-uncond	100	1225	a100_stab_aug16_f3_mipcas_uma_uma-mipcas_sg2_zp1_uma_prior_dataset-T2.5-5796d8_step1000.pt
uma_r1	wave2_floors	floor	uma-fused-uncond	100	1225	a100_stab_aug16_f3_mipcas_uma_uma-mipcas_sg2_zp1_uma_prior_dataset-T2.5-5796d8_step1000.pt
uma_r2	wave2_floors	floor	uma-fused-uncond	100	1225	a100_stab_aug16_f3_mipcas_uma_uma-mipcas_sg2_zp1_uma_prior_dataset-T2.5-5796d8_step1000.pt
uma_r3	wave2_floors	floor	uma-fused-uncond	100	1225	a100_stab_aug16_f3_mipcas_uma_uma-mipcas_sg2_zp1_uma_prior_dataset-T2.5-5796d8_step1000.pt
uma_r4	wave2_floors	floor	uma-fused-uncond	100	1225	a100_stab_aug16_f3_mipcas_uma_uma-mipcas_sg2_zp1_uma_prior_dataset-T2.5-5796d8_step1000.pt
mace_r0	wave2_floors	floor	mace-fused-uncond	100	1225	a100_stab_aug16_f4_acridine_mace_mace-acridine_sg14_zp1_mace_prior_dataset-T2.5-625524_step1000.pt
mace_r1	wave2_floors	floor	mace-fused-uncond	100	1225	a100_stab_aug16_f4_acridine_mace_mace-acridine_sg14_zp1_mace_prior_dataset-T2.5-625524_step1000.pt
mace_r2	wave2_floors	floor	mace-fused-uncond	100	1225	a100_stab_aug16_f4_acridine_mace_mace-acridine_sg14_zp1_mace_prior_dataset-T2.5-625524_step1000.pt
mace_r3	wave2_floors	floor	mace-fused-uncond	100	1225	a100_stab_aug16_f4_acridine_mace_mace-acridine_sg14_zp1_mace_prior_dataset-T2.5-625524_step1000.pt
mace_r4	wave2_floors	floor	mace-fused-uncond	100	1225	a100_stab_aug16_f4_acridine_mace_mace-acridine_sg14_zp1_mace_prior_dataset-T2.5-625524_step1000.pt
u_scale1000_r0	wave2_util	util	a100-batch-scaling-elj	1000	16090	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
u_scale1000_r1	wave2_util	util	a100-batch-scaling-elj	1000	16090	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
u_scale1000_r2	wave2_util	util	a100-batch-scaling-elj	1000	16090	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
u_scale1000_probe10s	wave2_util	probe	a100-batch-scaling-elj	1000	16090	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
u_scale7410_r0	wave2_util	util	a100-batch-scaling-elj	7410	8900	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
u_scale7410_r1	wave2_util	util	a100-batch-scaling-elj	7410	8900	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
u_scale7410_r2	wave2_util	util	a100-batch-scaling-elj	7410	8900	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
u_prodshape_r0	wave2_prodshape	util	a100-util-production-shape	4491	19490	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
u_prodshape_r1	wave2_prodshape	util	a100-util-production-shape	4491	19490	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
u_prodshape_r2	wave2_prodshape	util	a100-util-production-shape	4491	19490	a100_stab_aug16_f1_mipcas_elj_elj-mipcas_sg2_zp1_elj_prior_dataset-T2.5-3eb2e3_step2000.pt
