name	kind	benchmark_id	batch	epochs
w3_roll_T10_b1000	rollout	-	1000	400
w3_roll_T10_b7410	rollout	-	7410	400
w3_roll_T60_b1000	rollout	-	1000	400
w3_roll_T60_b7410	rollout	-	7410	400
w3_roll_T100_b1000	rollout	-	1000	400
w3_roll_T100_b7410	rollout	-	7410	400
w3_elj_b500	boundary	-	500	1000000
w3_elj_b1000	boundary	-	1000	1000000
w3_elj_b2722	boundary	-	2722	1000000
w3_elj_b7410	boundary	-	7410	1000000
w3_elj_b20000	boundary	-	20000	1000000
w3_uma_b100	boundary	-	100	1000000
w3_uma_b250	boundary	-	250	1000000
w3_uma_b500	boundary	-	500	1000000
w3_uma_b1000	boundary	-	1000	1000000
w3_mace_b50	boundary	-	50	1000000
w3_mace_b100	boundary	-	100	1000000
w3_mace_b250	boundary	-	250	1000000
w3_elj_w256	width	-	2722	1000000
w3_elj_w1024	width	-	2722	1000000
w3_uma_graphtimer	flag	-	250	1400
w3_mace_batchednl	flag	-	100	1400
w3_mace_gpubatch	flag	-	100	1400
