fam,scale,lr,steps,ratio_first20,ratio_last20,pb_first20,pb_last20,pf_last20,replay_minus_fwd_logpb,bwd_minus_fwd_logpb,replay_minus_fwd_logpf,memo_last
acr,0.0125,1.5625e-06,12450,0.26302712199165446,0.2250147115116322,63.425697326660156,56.62858200073242,252.2677764892578,-5.3980924759725895,-0.8311121513124817,-7.849058624649388,0.9427343513848578
acr,0.05,6.25e-06,14430,0.21113566759653707,0.17256815225567318,73.35424423217773,74.47886276245117,424.40089416503906,-8.30507970968847,-4.088462611858176,-13.837394343725691,0.8495400761789397
acr,0.1,1.25e-05,13170,0.22213739788637796,0.19131956871820577,82.6880874633789,81.04215240478516,422.7355041503906,-11.989233092745508,-4.715259594046529,-19.667780384134403,0.8010929333956471
mip,1.0,0.000125,48420,0.3557537257466953,0.38946660213908046,25.872546195983887,17.52007007598877,45.39125442504883,-4.373526746588823,-13.038807606410728,-7.981445896880587,0.4749717773400215
mipu,0.03125,3.90625e-06,6350,0.48776162972268605,0.14632514149817377,267.5601501464844,195.77088928222656,1332.309814453125,-50.44021663333615,-6.279408354641873,-56.97407703821409,0.8316235191907966
mipu,0.0625,7.8125e-06,14400,0.21761527814121245,0.11437147641345906,227.91954803466797,219.59671020507812,1926.6188354492188,-18.244381897142148,-4.638299576436793,-28.997627397096267,0.7503395220399387
mipu,0.125,1.5625e-05,9820,0.7041064700039092,0.155564726830831,1031.8956298828125,259.50244140625,1722.6280517578125,-51.26443623487103,0.14179629285808915,-68.68171163789816,0.721737181984034
mipu,0.25,3.125e-05,5840,0.5524589407354169,0.24387698180417347,806.5153198242188,369.32269287109375,1568.9366455078125,-90.88053568827445,-1.1661390373742506,-112.17530833987212,0.726694809879848
neh,0.5,6.25e-05,10210,0.38797697386576546,0.37799902716526645,23.4880952835083,18.983713150024414,50.00414276123047,-16.30638118193633,-3.793068964835129,-22.027372145173786,0.546232372948575
nehu,0.015625,1.953125e-06,8210,0.5833083840070881,0.16010833077942677,374.2724304199219,179.7667999267578,1119.1590576171875,3.384749554617997,4.192494656967938,-0.6861098980007228,0.9189280710021135
nehu,0.03125,3.90625e-06,8210,0.2270187984693013,0.12602977643412694,228.95462799072266,202.66004943847656,1666.467529296875,-12.875714516611879,-0.4276319604623495,-20.740561443474917,0.858205622002596
nehu,0.0625,7.8125e-06,10930,0.19727814180278436,0.11761471505121787,282.6249694824219,255.78558349609375,2174.6297607421875,-10.764917246848654,-1.8214370962989506,-22.363582882294622,0.8230357453264812
nehu,0.125,1.5625e-05,25600,0.17733406819914543,0.17409547635527106,296.46099853515625,235.96368408203125,1359.4939575195312,-21.34000804991865,1.2426988636525493,-36.8671492776507,0.7507174078635453
nehu,0.25,3.125e-05,8200,0.20871981643036241,0.21055594888611823,315.9331817626953,263.4258728027344,1256.8958129882812,-36.75013366488338,1.0094359128443102,-56.0927216710179,0.7125936949725993
