arm	warm_src	scale	lr
p02_mipu_lr0p015625	pt100_mipu_lr4p0	0.015625	1.953e-06
p02_mipu_lr0p03125	pt100_mipu_lr4p0	0.03125	3.906e-06
p02_mipu_lr0p125	pt100_mipu_lr4p0	0.125	1.563e-05
p02_mipu_lr0p25	pt100_mipu_lr4p0	0.25	3.125e-05
p02_nehu_lr0p015625	pt100_nehu_lr4p0	0.015625	1.953e-06
p02_nehu_lr0p03125	pt100_nehu_lr4p0	0.03125	3.906e-06
p02_nehu_lr0p0625	pt100_nehu_lr4p0	0.0625	7.813e-06
p02_nehu_lr0p25	pt100_nehu_lr4p0	0.25	3.125e-05
p02_acr_lr0p0125	pt100_acr_lr4p0	0.0125	1.563e-06
p02_acr_lr0p025	pt100_acr_lr4p0	0.025	3.125e-06
p02_acr_lr0p05	pt100_acr_lr4p0	0.05	6.25e-06
p02_acr_lr0p1	pt100_acr_lr4p0	0.1	1.25e-05
