run,K,batch,end_h,B_busy_s,B_cv,t_fast,t_crit,t_last1h,pred15_min,first_u1h_lt54,first_pred15_lt54,first_pred1h_lt54,lead_u1h,lead_pred15,lead_pred1h,note
acr_lr0p0125,False,1000.0,48.0,8.22,0.111,10.31,15.2,12.73,53.4,4.2,3.9,,43.8,44.1,,
acr_lr0p05,False,1000.0,48.0,7.86,0.103,10.28,14.6,12.67,58.5,,,,,,,
acr_lr0p1,False,1000.0,48.0,8.04,0.122,10.27,14.9,14.22,52.5,18.4,16.3,,29.5,31.7,,
mip_lr1,False,4000.0,116.4,5.62,0.059,7.95,10.4,8.14,53.6,33.1,32.3,,83.4,84.1,,
nehu_lr0p015625,False,1600.0,48.0,16.18,0.14,19.06,30.0,22.26,48.1,,3.9,,,44.1,,
nehu_lr0p03125,False,1600.0,48.0,16.47,0.091,19.07,30.5,22.14,66.5,,,,,,,
nehu_lr0p0625,False,1000.0,48.0,10.7,0.131,14.15,19.8,17.26,53.1,,24.0,,,23.9,,
nehu_lr0p125,False,1000.0,115.9,10.93,0.151,14.09,20.2,14.67,51.2,19.3,18.3,18.7,96.6,97.6,97.2,
nehu_lr0p25,False,1600.0,48.0,16.57,0.095,18.98,30.7,21.88,62.9,,,,,,,
acr_lr0p025,True,,3.8,,,,,,,,,,,,,<3.5h of data
mipu_lr0p015625,True,,2.3,,,,,,,,,,,,,<3.5h of data
mipu_lr0p03125,True,1600.0,21.1,6.46,0.088,9.63,12.0,14.38,36.3,4.7,3.8,4.5,16.4,17.3,16.6,
mipu_lr0p0625,True,1600.0,41.8,6.48,0.085,9.65,12.0,12.55,50.5,33.7,32.8,33.2,8.1,8.9,8.5,
mipu_lr0p125,True,1600.0,30.4,6.55,0.349,9.61,12.1,15.26,22.8,28.8,3.8,4.5,1.6,26.7,25.9,
mipu_lr0p25,True,1000.0,15.5,4.77,0.084,8.4,8.8,9.15,51.6,6.2,14.5,14.6,9.3,1.0,0.8,
neh_lr0p5,True,4000.0,24.3,5.54,0.054,8.01,10.3,12.32,44.7,20.0,20.5,21.9,4.3,3.8,2.4,
