run,canc,t0,t1,dur_h,steps,batch,step_s,energy_s,nonenergy_s,gpu_util,util_x_t,smclk,pwrW,tempC,host_mem_pct,rss_gb,net_sent_MBs,net_recv_MBs
mipu_lr0p03125,True,1.0,1.2,0.2,5230-5280,1600,12.2,4.91,7.29,54.2,6.61,1410.0,210.0,40.0,3.5,2.77,0.03,0.0
mipu_lr0p03125,True,1.2,1.8,0.5,5280-5390,1600,17.33,8.18,9.14,60.0,10.39,1410.0,222.0,41.0,4.0,2.68,0.03,0.0
mipu_lr0p03125,True,1.8,2.0,0.3,5390-5450,1600,13.8,4.83,8.97,55.6,7.67,1360.0,207.0,39.0,3.8,2.68,0.03,0.0
mipu_lr0p03125,True,2.0,2.4,0.4,5450-5510,1600,22.66,11.89,10.78,59.0,13.38,1387.0,219.0,40.0,4.3,2.68,0.03,0.0
mipu_lr0p03125,True,2.4,2.9,0.5,5510-5570,1600,28.0,17.29,10.71,67.5,18.91,1408.0,244.0,43.0,4.4,2.68,0.03,0.0
mipu_lr0p03125,True,2.9,3.2,0.3,5570-5620,1600,22.44,11.48,10.96,65.5,14.69,1410.0,234.0,41.0,3.3,2.68,0.03,0.0
mipu_lr0p03125,True,3.2,3.5,0.3,5620-5690,1600,17.29,8.41,8.87,62.2,10.76,1408.0,226.0,41.0,3.4,2.68,0.03,0.0
mipu_lr0p03125,True,3.5,10.3,6.8,5690-7660,1600,12.28,4.12,8.17,53.4,6.56,1403.0,208.0,39.0,5.2,2.69,0.04,0.0
mipu_lr0p03125,True,10.3,19.0,8.7,7660-10880,1600,9.67,3.92,5.74,66.6,6.43,1410.0,235.0,42.0,5.4,2.7,0.41,0.37
mipu_lr0p03125,True,19.0,21.0,2.0,10880-11360,1600,14.97,4.46,10.51,49.0,7.33,1349.0,185.0,37.0,13.4,2.72,0.04,0.0
nehu_lr0p015625,False,1.0,5.7,4.7,5140-5920,1600,19.46,13.72,5.74,81.1,15.78,1410.0,280.0,46.0,35.1,2.7,2.6,2.57
nehu_lr0p015625,False,5.7,6.1,0.4,5920-5970,1600,33.51,20.67,12.84,84.9,28.44,1410.0,284.0,47.0,36.2,2.7,2.66,2.63
nehu_lr0p015625,False,6.1,21.1,15.0,5970-8660,1600,19.37,13.41,5.96,82.1,15.9,1410.0,281.0,46.0,27.2,2.71,1.93,1.9
nehu_lr0p015625,False,21.1,27.7,6.6,8660-9780,1600,21.26,13.36,7.9,77.1,16.4,1410.0,272.0,45.0,6.0,2.71,0.22,0.18
nehu_lr0p015625,False,27.7,38.3,10.6,9780-11770,1600,19.13,13.23,5.9,85.0,16.26,1410.0,291.0,47.0,5.8,2.74,0.21,0.18
nehu_lr0p015625,False,38.3,47.6,9.3,11770-13220,1600,22.5,13.52,8.99,72.6,16.35,1389.0,258.0,44.0,5.3,2.74,0.04,0.01
acr_lr0p1,False,1.0,1.3,0.2,9120-9170,1000,18.92,10.6,8.32,82.7,15.66,1410.0,192.0,38.0,16.8,6.67,0.04,0.0
acr_lr0p1,False,1.3,1.6,0.3,9170-9230,1000,17.58,9.9,7.68,84.8,14.9,1410.0,178.0,38.0,16.5,4.24,0.04,0.0
acr_lr0p1,False,1.6,10.9,9.4,9230-12410,1000,10.45,4.89,5.55,75.3,7.86,1410.0,179.0,37.0,16.6,4.1,0.04,0.0
acr_lr0p1,False,10.9,16.0,5.1,12410-13800,1000,13.0,5.18,7.82,63.8,8.29,1365.0,156.0,35.0,9.7,4.08,0.03,0.0
acr_lr0p1,False,16.0,21.7,5.6,13800-15170,1000,14.6,5.44,9.16,57.9,8.46,1358.0,147.0,34.0,6.9,4.2,0.04,0.0
acr_lr0p1,False,21.7,30.7,9.0,15170-17880,1000,11.77,5.16,6.61,67.5,7.95,1396.0,168.0,37.0,6.0,4.09,0.04,0.01
acr_lr0p1,False,30.7,47.6,16.9,17880-22180,1000,13.97,5.38,8.59,59.2,8.27,1358.0,152.0,35.0,4.7,4.12,0.08,0.04
mipu_lr0p0625,True,1.0,1.2,0.1,5240-5290,1600,10.58,3.98,6.59,69.9,7.39,1410.0,249.0,39.0,4.3,2.77,0.03,0.0
mipu_lr0p0625,True,1.2,1.8,0.7,5290-5440,1600,15.73,8.04,7.68,69.0,10.85,1410.0,236.0,39.0,4.4,2.66,0.03,0.0
mipu_lr0p0625,True,1.8,32.6,30.8,5440-16780,1600,9.73,3.91,5.81,66.3,6.45,1410.0,223.0,39.0,3.1,2.7,0.1,0.07
mipu_lr0p0625,True,32.6,41.6,9.0,16780-19410,1600,12.46,4.09,8.37,53.5,6.67,1397.0,199.0,37.0,8.8,2.68,0.03,0.0
mipu_lr0p015625,True,1.0,2.1,1.1,5250-5530,1600,13.37,4.37,9.01,52.3,6.99,1383.0,195.0,38.0,5.3,2.67,0.66,0.62
nehu_lr0p125,False,1.0,18.1,17.0,5140-9420,1000,14.25,8.23,6.01,74.8,10.66,1410.0,249.0,43.0,4.8,2.74,0.05,0.02
nehu_lr0p125,False,18.1,19.2,1.2,9420-9620,1000,20.99,8.92,12.08,58.5,12.28,1367.0,210.0,39.0,14.3,2.73,0.03,0.0
nehu_lr0p125,False,19.2,28.5,9.3,9620-11620,1000,16.37,8.4,7.97,64.1,10.49,1371.0,219.0,40.0,8.7,2.76,0.04,0.0
